name,id,type,subtype,ablty_one,ablty_two,ablty_three,base_exp,weight,height,hp,attack,defense,spec_attack,spec_defense,speed,offset
heracross,214,bug,fighting,swarm,guts,moxie,175,540,15,80,125,75,40,95,85,6255938
sandile,551,ground,dark,intimidate,moxie,anger-point,58,152,7,50,72,35,35,35,65,6048097
hypno,97,psychic,,insomnia,forewarn,inner-focus,169,756,16,85,73,70,73,115,67,5012781
croconaw,159,water,,torrent,sheer-force,,142,250,11,65,80,80,59,63,58,1481765
swinub,220,ice,ground,oblivious,snow-cloak,thick-fat,50,65,4,50,50,40,30,30,50,6296783
stantler,234,normal,,intimidate,frisk,sap-sipper,163,712,14,73,95,62,85,65,85,6280946
grotle,388,grass,,overgrow,shell-armor,,142,970,11,75,89,85,55,65,36,2838554
totodile,158,water,,torrent,sheer-force,,63,95,6,50,65,64,44,48,43,505738
frogadier,657,water,,torrent,protean,,142,109,6,54,63,52,83,56,97,2833596
ribombee,743,bug,fairy,honey-gather,shield-dust,sweet-veil,162,5,2,60,55,60,95,70,124,3248156
wobbuffet,202,psychic,,shadow-tag,telepathy,,142,285,13,190,33,58,33,58,33,4213529
gliscor,472,ground,flying,hyper-cutter,sand-veil,poison-heal,179,425,20,75,95,125,45,75,95,2888532
dratini,147,dragon,,shed-skin,marvel-scale,,60,33,18,41,64,45,50,50,50,4852126
flareon,136,fire,,flash-fire,guts,,184,250,9,65,130,60,95,110,65,2272973
crawdaunt,342,water,dark,hyper-cutter,shell-armor,adaptability,164,328,11,63,120,85,90,55,55,1248933
jirachi,385,steel,psychic,serene-grace,,,300,11,3,100,100,100,100,100,100,3971092
meltan,808,steel,,magnet-pull,,,150,80,2,46,65,65,55,35,34,220252
bonsly,438,rock,,sturdy,rock-head,rattled,58,150,5,50,80,95,10,45,10,911681
mesprit,481,psychic,,levitate,,,290,3,3,80,105,105,105,105,80,2140072
swablu,333,normal,flying,natural-cure,cloud-nine,,62,12,4,45,40,60,40,75,50,2308033
solrock,338,rock,psychic,levitate,,,161,1540,12,90,95,85,55,65,70,430022
golem,76,rock,ground,rock-head,sturdy,sand-veil,223,3000,14,80,120,130,55,65,45,6002618
rockruff,744,rock,,keen-eye,vital-spirit,steadfast,56,92,5,45,65,40,30,40,60,6356369
tympole,535,water,,swift-swim,hydration,water-absorb,59,45,5,50,50,40,50,40,64,6169788
krookodile,553,ground,dark,intimidate,moxie,anger-point,260,963,15,95,117,80,65,70,92,5098979
spheal,363,ice,water,thick-fat,ice-body,oblivious,58,395,8,70,40,50,55,50,25,1920773
mudkip,258,water,,torrent,damp,,62,76,4,50,70,50,50,50,40,3794835
hoppip,187,grass,flying,chlorophyll,leaf-guard,infiltrator,50,5,4,35,35,40,35,55,50,387629
corviknight,823,flying,steel,pressure,unnerve,mirror-armor,248,750,22,98,87,105,53,85,67,2068173
zangoose,335,normal,,immunity,toxic-boost,,160,403,13,73,115,60,60,60,90,2607487
eelektrik,603,electric,,levitate,,,142,220,12,65,85,70,75,70,40,5809560
gardevoir,282,psychic,fairy,synchronize,trace,telepathy,259,484,16,68,65,65,125,115,80,2699597
electrike,309,electric,,static,lightning-rod,minus,59,152,6,40,45,40,65,40,65,1603745
volcanion,721,fire,water,water-absorb,,,300,1950,17,80,110,120,130,90,70,5173734
wynaut,360,psychic,,shadow-tag,telepathy,,52,140,6,95,23,48,23,48,23,3869947
cobalion,638,steel,fighting,justified,,,290,2500,21,91,90,129,90,72,108,1153120
rowlet,722,grass,flying,overgrow,long-reach,,64,15,3,68,55,55,50,50,42,1885818
watchog,505,normal,,illuminate,keen-eye,analytic,147,270,11,60,85,69,60,69,77,1079503
tyranitar,248,rock,dark,sand-stream,unnerve,,300,2020,20,100,134,110,95,100,61,3613525
gourgeist,,,,,,,,,,,,,,,,4805403
dubwool,832,normal,,fluffy,steadfast,bulletproof,172,430,13,72,80,100,60,90,88,5877524
bouffalant,626,normal,,reckless,sap-sipper,soundproof,172,946,16,95,110,95,40,95,55,2577991
archeops,567,rock,flying,defeatist,,,177,320,14,75,140,65,112,65,110,5888021
toxicroak,454,poison,fighting,anticipation,dry-skin,poison-touch,172,444,13,83,106,65,86,65,85,4539105
burmy,412,bug,,shed-skin,overcoat,,45,34,2,40,29,45,29,45,36,2329368
joltik,595,bug,electric,compound-eyes,unnerve,swarm,64,6,1,50,47,50,57,50,65,4772696
empoleon,395,water,steel,torrent,defiant,,239,845,17,84,86,88,111,101,60,5752404
accelgor,617,bug,,hydration,sticky-hold,unburden,173,253,8,80,70,40,100,60,145,4716645
grovyle,253,grass,,overgrow,unburden,,142,216,9,50,65,45,85,65,95,3966338
bulbasaur,1,grass,poison,overgrow,chlorophyll,,64,69,7,45,49,49,65,65,45,3125189
servine,496,grass,,overgrow,contrary,,145,160,8,60,60,75,60,75,83,3665416
brionne,729,water,,torrent,liquid-voice,,147,175,6,60,69,69,91,81,50,1166813
helioptile,694,electric,normal,dry-skin,sand-veil,solar-power,58,60,5,44,38,33,61,43,70,3122112
amoonguss,591,grass,poison,effect-spore,regenerator,,162,105,6,114,85,70,85,80,30,950927
gible,443,dragon,ground,sand-veil,rough-skin,,60,205,7,58,70,45,40,45,42,2772650
galvantula,596,bug,electric,compound-eyes,unnerve,swarm,165,143,8,70,77,60,97,60,108,2996391
natu,177,psychic,flying,synchronize,early-bird,magic-bounce,64,20,2,40,50,45,70,45,70,6019023
sealeo,364,ice,water,thick-fat,ice-body,oblivious,144,876,11,90,60,70,75,70,45,4477410
vullaby,629,dark,flying,big-pecks,overcoat,weak-armor,74,90,5,70,55,75,45,65,60,3731746
pidove,519,normal,flying,big-pecks,super-luck,rivalry,53,21,3,50,55,50,36,30,43,3017747
urshifu,,,,,,,,,,,,,,,,4874379
fearow,22,normal,flying,keen-eye,sniper,,155,380,12,65,90,65,61,61,100,4946636
raboot,814,fire,,blaze,libero,,147,90,6,65,86,60,55,60,94,2020329
slakoth,287,normal,,truant,,,56,240,8,60,60,60,35,35,30,862396
cosmoem,790,psychic,,sturdy,,,140,9999,1,43,29,131,29,131,37,2573686
gyarados,130,water,flying,intimidate,moxie,,189,2350,65,95,125,79,60,100,81,3233928
komala,775,normal,,comatose,,,168,199,4,65,115,65,75,95,65,3317474
mothim,414,bug,flying,swarm,tinted-lens,,148,233,9,70,94,50,94,50,66,1862646
litten,725,fire,,blaze,intimidate,,64,43,4,45,65,40,60,40,70,1280921
pheromosa,795,bug,fighting,beast-boost,,,285,250,18,71,137,37,137,37,151,6152272
snivy,495,grass,,overgrow,contrary,,62,81,6,45,45,55,45,55,63,1176322
cradily,346,rock,grass,suction-cups,storm-drain,,173,604,15,86,81,97,81,107,43,1001590
nosepass,299,rock,,sturdy,magnet-pull,sand-force,75,970,10,30,45,135,45,90,30,4953455
ninetales,38,fire,,flash-fire,drought,,177,199,11,73,76,75,81,100,100,5716064
stufful,759,normal,fighting,fluffy,klutz,cute-charm,68,68,5,70,75,50,45,50,50,6370606
glaceon,471,ice,,snow-cloak,ice-body,,184,259,8,65,60,110,130,95,65,3781120
feraligatr,160,water,,torrent,sheer-force,,239,888,23,85,105,100,79,83,78,1241235
lycanroc,,,,,,,,,,,,,,,,2912864
venomoth,49,bug,poison,shield-dust,tinted-lens,wonder-skin,158,125,15,70,65,60,90,75,90,3205968
lopunny,428,normal,,cute-charm,klutz,limber,168,333,12,65,76,84,54,96,105,3700384
audino,531,normal,,healer,regenerator,klutz,390,310,11,103,60,86,60,86,50,1227456
buneary,427,normal,,run-away,klutz,limber,70,55,4,55,66,44,44,56,85,1223909
yamask,562,ghost,,mummy,,,61,15,5,38,30,85,55,65,30,3635406
snorlax,143,normal,,immunity,thick-fat,gluttony,189,4600,21,160,110,65,65,110,30,4523410
basculin,,,,,,,,,,,,,,,,960855
snorunt,361,ice,,inner-focus,ice-body,moody,60,168,7,50,50,50,50,50,50,1467958
vikavolt,738,bug,electric,levitate,,,250,450,15,77,70,90,145,75,43,64398
obstagoon,862,dark,normal,reckless,guts,defiant,260,460,16,93,90,101,60,81,95,3177279
larvesta,636,bug,fire,flame-body,swarm,,72,288,11,55,85,55,50,55,60,82888
tepig,498,fire,,blaze,thick-fat,,62,99,5,65,63,45,45,45,45,351630
darkrai,491,dark,,bad-dreams,,,270,505,15,70,90,90,135,90,125,3439740
tornadus,,,,,,,,,,,,,,,,5259896
spoink,325,psychic,,thick-fat,own-tempo,gluttony,66,306,7,60,25,35,70,80,60,6178073
cherrim,421,grass,,flower-gift,,,158,93,5,70,60,70,87,78,85,765694
grimmsnarl,861,dark,fairy,prankster,frisk,pickpocket,255,610,15,95,120,65,95,75,60,3392991
melmetal,809,steel,,iron-fist,,,300,8000,25,135,143,143,80,65,34,632031
porygon,137,normal,,trace,download,analytic,79,365,8,65,60,70,85,75,40,6303767
starmie,121,water,psychic,illuminate,natural-cure,analytic,182,800,11,60,75,85,100,85,115,4815660
farfetchd,83,normal,flying,keen-eye,inner-focus,defiant,132,150,8,52,90,55,58,62,60,3680327
pumpkaboo,,,,,,,,,,,,,,,,0
ralts,280,psychic,fairy,synchronize,trace,telepathy,40,66,4,28,25,25,45,35,40,2310881
liepard,510,dark,,limber,unburden,prankster,156,375,11,64,88,50,88,50,106,802802
qwilfish,211,water,poison,poison-point,swift-swim,intimidate,88,39,5,65,95,85,55,55,85,2133143
gossifleur,829,grass,,cotton-down,regenerator,effect-spore,50,22,4,40,40,60,40,60,10,1580719
goodra,706,dragon,,sap-sipper,hydration,gooey,300,1505,20,90,100,70,110,150,80,1712205
trapinch,328,ground,,hyper-cutter,arena-trap,sheer-force,58,150,7,45,100,45,45,45,10,2382939
fletchinder,662,fire,flying,flame-body,gale-wings,,134,160,7,62,73,55,56,52,84,1665244
primeape,57,fighting,,vital-spirit,anger-point,defiant,159,320,10,65,105,60,60,70,95,2554538
butterfree,12,bug,flying,compound-eyes,tinted-lens,,198,320,11,60,45,50,90,80,70,603919
luxray,405,electric,,rivalry,intimidate,guts,262,420,14,80,120,79,95,79,70,3748696
flaaffy,180,electric,,static,plus,,128,133,8,70,55,55,80,60,45,4956563
pichu,172,electric,,static,lightning-rod,,41,20,3,20,40,15,35,35,60,86843
kubfu,891,fighting,,inner-focus,,,77,120,6,60,90,60,53,50,72,857618
buizel,418,water,,swift-swim,water-veil,,66,295,7,55,65,35,60,30,85,4340407
illumise,314,bug,,oblivious,tinted-lens,prankster,151,177,6,65,47,75,73,85,85,3171415
darmanitan,,,,,,,,,,,,,,,,3006882
ninjask,291,bug,flying,speed-boost,infiltrator,,160,120,8,61,90,45,50,50,160,930990
bewear,760,normal,fighting,fluffy,klutz,unnerve,175,1350,21,120,125,80,55,60,60,582154
florges,671,fairy,,flower-veil,symbiosis,,248,100,11,78,65,68,112,154,75,2168282
rayquaza,384,dragon,flying,air-lock,,,340,2065,70,105,150,90,150,90,95,1722673
girafarig,203,normal,psychic,inner-focus,early-bird,sap-sipper,159,415,15,70,80,65,90,65,85,1498025
eternatus,890,poison,dragon,pressure,,,345,9500,200,140,85,95,145,95,130,4691460
kyurem,646,dragon,ice,pressure,,,330,3250,30,125,130,90,130,90,95,3637963
solgaleo,791,psychic,steel,full-metal-body,,,340,2300,34,137,137,107,113,89,97,2952191
pignite,499,fire,fighting,blaze,thick-fat,,146,555,10,90,93,55,70,55,55,3498896
bagon,371,dragon,,rock-head,sheer-force,,60,421,6,45,75,60,40,30,50,223200
regieleki,894,electric,,transistor,,,290,1450,12,80,100,50,100,50,200,2612628
karrablast,588,bug,,swarm,shed-skin,no-guard,63,59,5,50,75,45,40,45,60,1710072
yveltal,717,dark,flying,dark-aura,,,340,2030,58,126,131,95,131,98,99,3187524
dunsparce,206,normal,,serene-grace,run-away,rattled,145,140,15,100,70,70,65,65,45,173869
typhlosion,157,fire,,blaze,flash-fire,,240,795,17,78,84,78,109,85,100,4514569
kingdra,230,water,dragon,swift-swim,sniper,damp,270,1520,18,75,95,95,95,95,85,743209
uxie,480,psychic,,levitate,,,290,3,3,75,75,130,75,130,95,4935577
milcery,868,fairy,,sweet-veil,aroma-veil,,54,3,2,45,40,40,50,61,34,3746137
scatterbug,664,bug,,shield-dust,compound-eyes,friend-guard,40,25,3,38,35,40,27,25,35,5842820
surskit,283,bug,water,swift-swim,rain-dish,,54,17,5,40,30,32,50,52,65,5493589
emolga,587,electric,flying,static,motor-drive,,150,50,4,55,75,60,75,60,103,3860893
huntail,367,water,,swift-swim,water-veil,,170,270,17,55,104,105,94,75,52,1259092
toxtricity,,,,,,,,,,,,,,,,3067960
chingling,433,psychic,,levitate,,,57,6,2,45,30,50,65,50,45,1455820
calyrex,898,psychic,grass,unnerve,,,250,77,11,100,80,80,80,80,80,2004892
virizion,640,grass,fighting,justified,,,290,2000,20,91,90,72,90,129,108,242684
politoed,186,water,,water-absorb,damp,drizzle,250,339,11,90,75,75,90,100,70,5650517
wyrdeer,899,normal,psychic,intimidate,frisk,sap-sipper,0,951,18,103,105,72,105,75,65,1757872
cresselia,488,psychic,,levitate,,,300,856,15,120,70,120,75,130,85,1646269
samurott,503,water,,torrent,shell-armor,,238,946,15,95,100,85,108,70,70,1127269
eiscue,,,,,,,,,,,,,,,,2400244
perrserker,863,steel,,battle-armor,tough-claws,steely-spirit,154,280,8,70,110,100,50,60,50,4631446
cubone,104,ground,,rock-head,lightning-rod,battle-armor,64,65,4,50,50,95,40,50,35,2671465
hitmonchan,107,fighting,,keen-eye,iron-fist,inner-focus,159,502,14,50,105,79,35,110,76,1446567
roggenrola,524,rock,,sturdy,weak-armor,sand-force,56,180,4,55,75,85,25,25,15,3175309
tropius,357,grass,flying,chlorophyll,solar-power,harvest,161,1000,20,99,68,83,72,87,51,6026044
seel,86,water,,thick-fat,hydration,ice-body,65,900,11,65,45,55,45,70,45,5109882
lanturn,171,water,electric,volt-absorb,illuminate,water-absorb,161,225,12,125,58,58,76,76,67,4016151
abomasnow,460,grass,ice,snow-warning,soundproof,,173,1355,22,90,92,75,92,85,60,1562069
skuntank,435,poison,dark,stench,aftermath,keen-eye,168,380,10,103,93,67,71,61,84,2626830
lickilicky,463,normal,,own-tempo,oblivious,cloud-nine,180,1400,17,110,85,95,80,95,50,5061840
swampert,260,water,ground,torrent,damp,,268,819,15,100,110,90,85,90,60,551873
swadloon,541,bug,grass,leaf-guard,chlorophyll,overcoat,133,73,5,55,63,90,50,80,42,3431589
masquerain,284,bug,flying,intimidate,unnerve,,159,36,8,70,60,62,100,82,80,6335268
passimian,766,fighting,,receiver,defiant,,172,828,20,100,120,90,40,60,80,1742516
voltorb,100,electric,,soundproof,static,aftermath,66,104,5,40,30,50,55,55,100,1973566
sirfetchd,865,fighting,,steadfast,scrappy,,177,1170,8,62,135,95,68,82,65,3844447
petilil,548,grass,,chlorophyll,own-tempo,leaf-guard,56,66,5,45,35,50,70,50,30,3710802
gigalith,526,rock,,sturdy,sand-stream,sand-force,258,2600,17,85,135,130,60,80,25,2045161
shelmet,616,bug,,hydration,shell-armor,overcoat,61,77,4,50,40,85,40,65,25,6360658
mienfoo,619,fighting,,inner-focus,regenerator,reckless,70,200,9,45,85,50,55,50,65,1134457
pelipper,279,water,flying,keen-eye,drizzle,rain-dish,154,280,12,60,50,100,95,70,65,5918056
sneasler,903,fighting,poison,pressure,poison-touch,,0,430,13,80,130,60,40,80,120,5696001
entei,244,fire,,pressure,inner-focus,,290,1980,21,115,115,85,90,75,100,1899556
ursaring,217,normal,,guts,quick-feet,unnerve,175,1258,18,90,130,75,75,75,55,4344425
togetic,176,fairy,flying,hustle,serene-grace,super-luck,142,32,6,55,40,85,80,105,40,1782161
seedot,273,grass,,chlorophyll,early-bird,pickpocket,44,40,5,40,40,50,30,30,30,2130189
kadabra,64,psychic,,synchronize,inner-focus,magic-guard,140,565,13,40,35,30,120,70,105,1702431
deerling,585,normal,grass,chlorophyll,sap-sipper,serene-grace,67,195,6,60,60,50,40,50,75,2652536
dewgong,87,water,ice,thick-fat,hydration,ice-body,166,1200,17,90,70,80,70,95,70,4173845
sunkern,191,grass,,chlorophyll,solar-power,early-bird,36,18,3,30,30,30,30,30,30,125680
palkia,484,water,dragon,pressure,telepathy,,340,3360,42,90,120,100,150,120,100,1040722
heatmor,631,fire,,gluttony,flash-fire,white-smoke,169,580,14,85,97,66,105,66,65,2859327
dustox,269,bug,poison,shield-dust,compound-eyes,,173,316,12,60,50,70,50,90,65,3037217
giratina,,,,,,,,,,,,,,,,2151242
floette,670,fairy,,flower-veil,symbiosis,,130,9,2,54,45,47,75,98,52,1412720
marshadow,802,fighting,ghost,technician,,,300,222,7,90,125,80,90,90,125,5757966
charizard,6,fire,flying,blaze,solar-power,,267,905,17,78,84,78,109,85,100,5926068
rookidee,821,flying,,keen-eye,unnerve,big-pecks,49,18,2,38,47,35,33,35,57,3632030
registeel,379,steel,,clear-body,light-metal,,290,2050,19,80,75,150,75,150,50,5380456
forretress,205,bug,steel,sturdy,overcoat,,163,1258,12,75,90,140,60,60,40,6021644
cofagrigus,563,ghost,,mummy,,,169,765,17,58,50,145,95,105,30,5989618
houndoom,229,dark,fire,early-bird,flash-fire,unnerve,175,350,14,75,90,50,110,80,95,1113943
wigglytuff,40,normal,fairy,cute-charm,competitive,frisk,218,120,10,140,70,45,85,50,45,5685070
cutiefly,742,bug,fairy,honey-gather,shield-dust,sweet-veil,61,2,1,40,45,40,55,40,84,337242
azurill,298,normal,fairy,thick-fat,huge-power,sap-sipper,38,20,2,50,20,40,20,40,20,4170978
thundurus,,,,,,,,,,,,,,,,2336966
nihilego,793,rock,poison,beast-boost,,,285,555,12,109,53,47,127,131,103,5636929
wooper,194,water,ground,damp,water-absorb,unaware,42,85,4,55,45,45,25,25,15,50009
krokorok,552,ground,dark,intimidate,moxie,anger-point,123,334,10,60,82,45,45,45,74,1171577
rolycoly,837,rock,,steam-engine,heatproof,flash-fire,48,120,3,30,40,50,40,50,30,6307287
krabby,98,water,,hyper-cutter,shell-armor,sheer-force,65,65,4,30,105,90,25,25,50,566073
tangrowth,465,grass,,chlorophyll,leaf-guard,regenerator,187,1286,20,100,100,125,110,50,50,4748650
doublade,680,steel,ghost,no-guard,,,157,45,8,59,110,150,45,49,35,5566244
kricketot,401,bug,,shed-skin,run-away,,39,22,3,37,25,41,25,41,25,6015164
kricketune,402,bug,,swarm,technician,,134,255,10,77,85,51,55,51,65,5240367
smoochum,238,ice,psychic,oblivious,forewarn,hydration,61,60,4,45,30,15,85,65,65,5320373
plusle,311,electric,,plus,lightning-rod,,142,42,4,60,50,40,85,75,95,3386218
carnivine,455,grass,,levitate,,,159,270,14,74,100,72,90,72,46,5740040
magneton,82,electric,steel,magnet-pull,sturdy,analytic,163,600,10,50,60,95,120,70,70,866486
whimsicott,547,grass,fairy,prankster,infiltrator,chlorophyll,168,66,7,60,67,85,77,75,116,4158044
sliggoo,705,dragon,,sap-sipper,hydration,gooey,158,175,8,68,75,53,83,113,60,667407
unown,201,psychic,,levitate,,,118,50,5,48,72,48,72,48,48,2709847
dugtrio,51,ground,,sand-veil,arena-trap,sand-force,149,333,7,35,100,50,50,70,120,5323660
clamperl,366,water,,shell-armor,rattled,,69,525,4,35,64,85,74,55,32,1433743
salazzle,758,poison,fire,corrosion,oblivious,,168,222,12,68,64,60,111,60,117,5130076
rotom,479,electric,ghost,levitate,,,154,3,3,50,50,77,95,77,91,4335650
slowking,199,water,psychic,oblivious,own-tempo,regenerator,172,795,20,95,75,80,100,110,30,4568082
infernape,392,fire,fighting,blaze,iron-fist,,240,550,12,76,104,71,104,71,108,919260
deino,633,dark,dragon,hustle,,,60,173,8,52,65,50,45,50,38,2386284
slowbro,80,water,psychic,oblivious,own-tempo,regenerator,172,785,16,95,75,110,100,80,30,1502803
malamar,687,dark,psychic,contrary,suction-cups,infiltrator,169,470,15,86,92,88,68,75,73,522170
noibat,714,flying,dragon,frisk,infiltrator,telepathy,49,80,5,40,30,35,45,40,55,1276970
latias,380,dragon,psychic,levitate,,,300,400,14,80,80,90,110,130,110,1104313
coalossal,839,rock,fire,steam-engine,flame-body,flash-fire,255,3105,28,110,80,120,80,90,30,5856487
thievul,828,dark,,run-away,unburden,stakeout,159,199,12,70,58,58,87,92,90,1342069
mamoswine,473,ice,ground,oblivious,snow-cloak,thick-fat,265,2910,25,110,130,80,70,60,80,4005233
dodrio,85,normal,flying,run-away,early-bird,tangled-feet,165,852,18,60,110,70,60,60,110,1870497
mareanie,747,poison,water,merciless,limber,regenerator,61,80,4,50,53,62,43,52,45,1272086
dartrix,723,grass,flying,overgrow,long-reach,,147,160,7,78,75,75,70,70,52,904747
graveler,75,rock,ground,rock-head,sturdy,sand-veil,137,1050,10,55,95,115,45,45,35,1094479
chesnaught,652,grass,fighting,overgrow,bulletproof,,239,900,16,88,107,122,74,75,64,3518580
pidgey,16,normal,flying,keen-eye,tangled-feet,big-pecks,50,18,3,40,45,40,35,35,56,2326017
horsea,116,water,,swift-swim,sniper,damp,59,80,4,30,40,70,70,25,60,34329
dragonair,148,dragon,,shed-skin,marvel-scale,,147,165,40,61,84,65,70,70,70,676365
pupitar,247,rock,ground,shed-skin,,,144,1520,12,70,84,70,65,70,51,6200423
magikarp,129,water,,swift-swim,rattled,,40,100,9,20,10,55,15,20,80,3269408
mankey,56,fighting,,vital-spirit,anger-point,defiant,61,280,5,40,80,35,35,45,70,5039866
sharpedo,319,water,dark,rough-skin,speed-boost,,161,888,18,70,120,40,95,40,95,3421897
flapple,841,grass,dragon,ripen,gluttony,hustle,170,10,3,70,110,80,95,60,70,2283416
poliwrath,62,water,fighting,water-absorb,damp,swift-swim,255,540,13,90,95,95,70,90,70,1141011
poliwag,60,water,,water-absorb,damp,swift-swim,60,124,6,40,50,40,40,40,90,600461
timburr,532,fighting,,guts,sheer-force,iron-fist,61,125,6,75,80,55,25,35,35,4687380
jolteon,135,electric,,volt-absorb,quick-feet,,184,245,8,65,65,60,110,95,130,1486748
palpitoad,536,water,ground,swift-swim,hydration,water-absorb,134,170,8,75,65,55,65,55,69,3274503
cursola,864,ghost,,weak-armor,perish-body,,179,4,10,60,95,50,145,130,30,788530
braixen,654,fire,,blaze,magician,,143,145,10,59,59,58,90,70,73,4961597
polteageist,855,ghost,,weak-armor,cursed-body,,178,4,2,60,65,65,134,114,70,1690707
torkoal,324,fire,,white-smoke,drought,shell-armor,165,804,5,70,85,140,85,70,20,3901677
grubbin,736,bug,,swarm,,,60,44,4,47,62,45,55,45,46,928675
minior,,,,,,,,,,,,,,,,724941
quilava,156,fire,,blaze,flash-fire,,142,190,9,58,64,58,80,65,80,831721
remoraid,223,water,,hustle,sniper,moody,60,120,6,35,65,35,65,35,65,1798775
tangela,114,grass,,chlorophyll,leaf-guard,regenerator,87,350,10,65,55,115,100,40,60,5711880
swoobat,528,psychic,flying,unaware,klutz,simple,149,105,9,67,57,55,77,55,114,1656440
paras,46,bug,grass,effect-spore,dry-skin,damp,57,54,3,35,70,55,45,55,25,5525248
zygarde,,,,,,,,,,,,,,,,2027069
sizzlipede,850,fire,bug,flash-fire,white-smoke,flame-body,61,10,7,50,65,45,50,50,45,2795476
gengar,94,ghost,poison,cursed-body,,,250,405,15,60,65,60,130,75,110,5089001
aggron,306,steel,rock,sturdy,rock-head,heavy-metal,265,3600,21,70,110,180,60,60,50,2410063
scizor,212,bug,steel,swarm,technician,light-metal,175,1180,18,70,130,100,55,80,65,5845902
lumineon,457,water,,swift-swim,storm-drain,water-veil,161,240,12,69,69,76,69,86,91,1118343
gligar,207,ground,flying,hyper-cutter,sand-veil,immunity,86,648,11,65,75,105,35,65,85,4445889
vivillon,666,bug,flying,shield-dust,compound-eyes,friend-guard,185,170,12,80,52,50,90,50,89,3825356
gothita,574,psychic,,frisk,competitive,shadow-tag,58,58,4,45,30,50,55,65,45,1269357
quilladin,651,grass,,overgrow,bulletproof,,142,290,7,61,78,95,56,58,57,5023020
carkol,838,rock,fire,steam-engine,flame-body,flash-fire,144,780,11,80,60,90,60,70,50,4795759
honchkrow,430,dark,flying,insomnia,super-luck,moxie,177,273,9,100,125,52,105,52,71,4389458
goomy,704,dragon,,sap-sipper,hydration,gooey,60,28,3,45,50,35,55,75,40,5600553
flygon,330,ground,dragon,levitate,,,260,820,20,80,100,80,80,80,100,4270162
glameow,431,normal,,limber,own-tempo,keen-eye,62,39,5,49,55,42,42,37,85,1317032
bronzor,436,steel,psychic,levitate,heatproof,heavy-metal,60,605,5,57,24,86,24,86,23,2407447
anorith,347,rock,bug,battle-armor,swift-swim,,71,125,7,45,95,50,40,50,75,880145
